date,realized_vol,lstm_forecast,garch_forecast
2022-01-05,1.71717646195293,1.3183255,1.6545003598268906
2022-01-06,1.6911378569724134,1.6020428,2.046971436960834
2022-01-07,1.6755799396994195,1.6492956,2.004418395169671
2022-01-10,1.6653791376146174,1.6354738,1.9317741204289764
2022-01-11,1.743105985242448,1.6195829,1.8627576240282624
2022-01-12,1.7633092999949163,1.6882218,1.8079500533367907
2022-01-13,1.6298573043873563,1.7177284,1.7421132360893308
2022-01-14,1.6174839354401098,1.5951581,1.7048030404690029
2022-01-18,1.6124441169571155,1.5624616,1.650945377654865
2022-01-19,1.6330503271089187,1.5596193,1.7620465661805895
2022-01-20,1.071952603916896,1.5823642,1.6985969652609534
2022-01-21,1.4436149169761205,1.0804181,1.645598089274763
2022-01-24,1.487049503066392,1.3392178,1.8647198869737611
2022-01-25,1.6587160788954356,1.4509462,1.7977529473297384
2022-01-26,1.602366004138963,1.6218168,1.9140174311696572
2022-01-27,1.548308874509265,1.5883119,1.843976752828652
2022-01-28,1.6825977787783681,1.5199915,1.825017653569333
2022-01-31,2.6373907707542354,1.6290966,1.773770842966261
2022-02-01,2.49314542055628,2.5401187,2.2453676520734924
2022-02-02,2.4948745640107695,2.5273445,2.1579793070123707
2022-02-03,2.5900369785448767,2.454841,2.0774136829453163
2022-02-04,2.3529617101340685,2.508443,2.111960378698341
2022-02-07,2.3567926149865954,2.2808444,2.0457112535159485
2022-02-08,2.114364361482913,2.2457554,1.9738452391117791
2022-02-09,2.3589334410927694,2.024167,1.8996601987332016
2022-02-10,2.4769622255302384,2.2303295,2.0617377480393806
2022-02-11,2.654859161485222,2.3878403,2.099120523286844
2022-02-14,1.892313290474959,2.5703676,2.138757198579134
2022-02-15,2.5600063009629386,1.8583165,2.066608436304575
2022-02-16,2.555468539161114,2.3763158,2.3871948415529296
2022-02-17,2.4482737438257516,2.487044,2.2928788526847343
2022-02-18,2.5098349175620345,2.3770237,2.2346073559871416
2022-02-22,2.6216559517442604,2.4060552,2.2044730439425724
2022-02-23,2.617268798483296,2.5183825,2.2234309373269188
2022-02-24,3.409168048149045,2.525924,2.1444409387164662
2022-02-25,3.3815715191855373,3.2863746,2.854366090716613
2022-02-28,3.6302347094876035,3.348366,2.837667800803977
2022-03-01,3.643385501732124,3.536217,3.209984928771841
2022-03-02,3.5260628907983302,3.5378885,3.08951774242337
2022-03-03,3.726757553083738,3.3895297,2.995268454426101
2022-03-04,3.6976735704547234,3.5599396,2.9893388711834468
2022-03-07,3.6431840509404734,3.552327,2.8751434848738064
2022-03-08,3.830871505685384,3.4808073,2.8355369538210518
2022-03-09,3.7720679709491063,3.6555684,3.256013516051555
2022-03-10,3.3724013946297546,3.616452,3.1233978414285337
2022-03-11,3.405133347512172,3.1984785,3.019840194698001
2022-03-14,2.9917704157479257,3.187154,2.9259789634526143
2022-03-15,3.0437125052263236,2.8138793,2.9769414018969824
2022-03-16,3.1056359673936313,2.8367412,2.887647016326448
2022-03-17,2.8746768865258403,2.9357252,2.859097982224924
2022-03-18,2.8310572028752716,2.7355332,2.763491475359884
2022-03-21,2.8100329754072577,2.670047,2.6535030009071976
2022-03-22,1.8712829068414012,2.6595,2.5541605374442846
2022-03-23,1.9313492576412705,1.781327,2.479689221053743
2022-03-24,1.9482252091884251,1.7376344,2.4177888017416005
2022-03-25,1.9179110395665637,1.81164,2.3596409579651327
2022-03-28,1.3616407327968583,1.8241088,2.288651452159599
2022-03-29,1.3510928901950516,1.3257354,2.201818566612887
2022-03-30,1.1519145740444623,1.2521648,2.151891367850031
2022-03-31,1.1091469639567249,1.0985153,2.0693721275197383
2022-04-01,1.1142186415715054,1.0576906,1.996412868938782
2022-04-04,1.1892098462634781,1.0758976,1.9260480369666495
2022-04-05,1.1690147735549086,1.1585797,1.930497444311712
2022-04-06,1.1057084011208334,1.1587843,1.8588969561141409
2022-04-07,1.1212388964666409,1.1006088,1.8175089552200632
2022-04-08,1.1319591385824006,1.1054561,1.7794296920052572
2022-04-11,1.1777222155253628,1.1199057,1.7469528035907378
2022-04-12,1.0906866870334662,1.1644206,1.705856365518725
2022-04-13,1.198116483492523,1.0935599,1.6723826794568597
2022-04-14,1.2039787285478463,1.175531,1.6461083622715909
2022-04-18,1.1643591624235272,1.1969719,1.6190433745545767
2022-04-19,1.1763024112720901,1.1610378,1.5732096762782315
2022-04-20,1.241704136996936,1.1632229,1.615595558647606
2022-04-21,1.8648900878402084,1.2231057,1.6289919093586729
2022-04-22,1.877011573786931,1.7993712,2.0674391053618977
2022-04-25,1.9036441746984378,1.89627,2.0391693853261086
2022-04-26,1.9922906703556695,1.8932323,1.960984627722452
2022-04-27,2.12193530425487,1.9511065,2.028667791683881
2022-04-28,2.0455161002293663,2.0689483,1.9780785799718517
2022-04-29,2.052677784470924,2.0032856,1.9061077834647977
2022-05-02,2.083687172863601,1.9869299,1.8795753994390936
2022-05-03,2.0115883518159494,2.0113816,1.8094735999192977
2022-05-04,2.5293648210265385,1.9464061,1.7930232090646303
2022-05-05,2.333907113010414,2.4216418,2.0463087058327
2022-05-06,2.4920573116323794,2.304382,2.240029045877092
2022-05-09,3.073379281699257,2.4049547,2.326253172898224
2022-05-10,3.0212666665816785,2.9729664,2.7812497220270056
2022-05-11,3.007536850017426,2.983016,2.669009463345269
2022-05-12,2.961917841723434,2.9194107,2.6828623340135698
2022-05-13,3.519955044699831,2.846383,2.582095390769038
2022-05-16,3.5082552713509836,3.3797534,2.789216199803953
2022-05-17,3.780708302823842,3.4312825,2.68511807657905
