date,realized_vol,lstm_forecast,garch_forecast
2022-01-05,1.4936811441444826,1.5842777,1.8857213066609293
2022-01-06,1.5533576018754416,1.5209181,1.799515339205389
2022-01-07,1.521671780008837,1.5540674,1.840784133057388
2022-01-10,1.532387504413834,1.5351113,1.8038239449818263
2022-01-11,1.6753432400644954,1.5390794,1.7245104910374116
2022-01-12,1.5918286666158952,1.6643567,1.9282339256467624
2022-01-13,1.5780804359787959,1.6179963,1.8406307861999711
2022-01-14,1.5613625863784633,1.5881428,1.763378386175452
2022-01-18,1.4928701050334245,1.5661412,1.8218444554749125
2022-01-19,1.3963417355905108,1.5034217,1.7432280711344956
2022-01-20,1.4836557621583844,1.408768,1.6789299182631852
2022-01-21,1.610935629621078,1.4691772,1.6274972291575676
2022-01-24,1.5754429920686257,1.6010972,1.6665488863424942
2022-01-25,1.915291682878461,1.5987177,1.6047870083668894
2022-01-26,1.6748289510100873,1.886205,1.911931099363592
2022-01-27,1.6916295734670443,1.7323724,1.825018786133993
2022-01-28,1.687033573034697,1.6944484,1.772059018645309
2022-01-31,1.5487897895796723,1.68171,1.696753720045283
2022-02-01,1.8677004324539632,1.5608073,1.6260983691672093
2022-02-02,1.8181923877315058,1.8143665,1.8754856990712367
2022-02-03,1.8212320042598023,1.8322738,1.792416431650829
2022-02-04,1.582890475203224,1.826483,1.7349221537156867
2022-02-07,1.581076151809912,1.610664,1.7207809668291008
2022-02-08,1.5498618904353496,1.5608208,1.6869079217286238
2022-02-09,1.5381097466555966,1.5355502,1.7381129633612684
2022-02-10,1.5663713339889633,1.5293146,1.678441699727792
2022-02-11,1.7183508147998103,1.5589758,1.614364444326911
2022-02-14,1.9789995461148435,1.7011611,1.7660881103580195
2022-02-15,1.6944641417838948,1.9587694,1.8317228820019569
2022-02-16,1.7125822038969,1.754821,1.7766613222570145
2022-02-17,1.6809118646437877,1.7074208,1.7133916298334009
2022-02-18,1.6102221812474324,1.6722413,1.6371593742069597
2022-02-22,1.5923618216213016,1.6073797,1.5752089269732292
2022-02-23,1.5193263383796574,1.5823908,1.583095458407045
2022-02-24,1.4957824786906209,1.5200454,1.544176268383591
2022-02-25,1.7362513600092924,1.4913863,1.495213928396093
2022-02-28,1.6631615608062138,1.700733,1.6293335807540423
2022-03-01,1.4489111051137402,1.6866082,1.7200098927687857
2022-03-02,1.4679662039385457,1.4875615,1.6698917787002248
2022-03-03,1.4731057045605325,1.4578323,1.733314637948413
2022-03-04,1.5930949032130683,1.4667118,1.65733087584421
2022-03-07,1.5003264308879953,1.5798907,1.7985190268476443
2022-03-08,1.1394832783114666,1.5265528,1.7722412839092745
2022-03-09,1.8467164239021288,1.1988308,1.7555338496194386
2022-03-10,1.8162983547653253,1.7418146,1.9173091818617412
2022-03-11,1.8909093424016543,1.8521225,2.040375948465283
2022-03-14,2.222651647620202,1.9160259,1.9607980130210048
2022-03-15,2.5888171374693343,2.2008457,2.080602833791831
2022-03-16,2.473901529740299,2.5680683,2.2775809366086803
2022-03-17,2.7226884920456,2.5119898,2.1750764344534845
2022-03-18,2.5480419950695996,2.6833668,2.3083174477710906
2022-03-21,2.8321159757728878,2.543537,2.200005256772088
2022-03-22,2.790525700906655,2.7477913,2.408708848201351
2022-03-23,2.637399559022813,2.7461374,2.305636970067939
2022-03-24,2.462592551172681,2.59449,2.255993960057937
2022-03-25,2.527747223919992,2.401728,2.151504147236106
2022-03-28,2.453361756544602,2.426486,2.1518545163404905
2022-03-29,2.010871170644306,2.3802874,2.184926270399145
2022-03-30,1.9681888253941537,1.9891958,2.0843507493244915
2022-03-31,1.8732485936049597,1.8805548,2.017543615228336
2022-04-01,1.867086322446794,1.8043737,1.967306305584548
2022-04-04,1.4244245093422467,1.8059883,1.892309394637424
2022-04-05,1.5044236908433408,1.44002,1.8061628878251512
2022-04-06,1.4062182106214587,1.4423665,1.7881445697361245
2022-04-07,1.4698991047970464,1.3871393,1.7163273332499671
2022-04-08,1.5645824432811284,1.445898,1.6849518076371928
2022-04-11,1.6710621461845008,1.5526794,1.8036238613097269
2022-04-12,1.739746762180539,1.6709048,1.949717697915909
2022-04-13,1.7618045518505228,1.750537,1.9244129838911397
2022-04-14,1.66636453723421,1.776525,1.8890505391683023
2022-04-18,1.6946937077642923,1.6887009,1.805309395428928
2022-04-19,1.7435620227462965,1.688102,1.7777248415811857
2022-04-20,1.5995167500409935,1.7321059,1.71492965306359
2022-04-21,2.0061502297266216,1.616757,1.6419683587105562
2022-04-22,2.1319126421240027,1.9445599,1.8428746786162733
2022-04-25,2.0883842145656697,2.1287088,1.9091306384120696
2022-04-26,1.9383445332146625,2.1096117,2.0820596452061024
2022-04-27,1.9160975912556544,1.9527924,1.9858438775892264
2022-04-28,2.1329746786254455,1.8914095,1.943752702640344
2022-04-29,2.233799356264452,2.0733254,2.059372815011774
2022-05-02,2.247416421763335,2.2047772,2.113034878025552
2022-05-03,2.481052709176099,2.2342231,2.0699903135895674
2022-05-04,2.8321642274325427,2.433006,2.1409011093588357
2022-05-05,2.6529365314324838,2.775118,2.3779810952551306
2022-05-06,2.5738153099469576,2.6638849,2.310991527783108
2022-05-09,3.786132148805902,2.5403643,2.371855926734633
2022-05-10,3.7898035116037856,3.595305,3.43656931347617
2022-05-11,3.786265527540736,3.796248,3.281370593475712
2022-05-12,3.6754818269371343,3.760911,3.148337464341666
2022-05-13,3.6675259832374256,3.6013153,2.9992937699254822
2022-05-16,3.708031984156008,3.5383544,3.027763972865871
2022-05-17,3.6488719430382255,3.5577393,2.985932363543489
