date,realized_vol,lstm_forecast,garch_forecast
2023-08-15,1.5286997681966834,1.4264079,1.382266985082122
2023-08-16,1.0395009226446827,1.5144919,1.563050061262541
2023-08-17,1.0451511312533546,1.2320123,1.5391548635142025
2023-08-18,1.0681382071223935,1.1057891,1.524485738885258
2023-08-21,1.0792083969155948,1.0792476,1.473675399023351
2023-08-22,1.0700598561347645,1.0905217,1.426137071259645
2023-08-23,1.1907551094330302,1.1003585,1.382618563404784
2023-08-24,1.2281052906753742,1.1894131,1.4076912811546465
2023-08-25,1.3530913847166803,1.2571161,1.4410031613123646
2023-08-28,1.3714076635193493,1.3666863,1.4266182554314313
2023-08-29,1.3927692228777697,1.422274,1.3830239931574109
2023-08-30,1.535087238998805,1.4511633,1.5296361350852783
2023-08-31,1.4906043113192813,1.5500327,1.5917979850051815
2023-09-01,1.4906001226611392,1.557971,1.5466038582842196
2023-09-05,1.5782949356498313,1.5513018,1.49472114637125
2023-09-06,1.6630171936507774,1.6010875,1.5051263295576418
2023-09-07,1.5359488210586114,1.6776623,1.5265621636438809
2023-09-08,1.4702155779774182,1.6212916,1.4877745616416085
2023-09-11,1.4176988212169996,1.5440671,1.4387593991842882
2023-09-12,1.4378490853788402,1.473706,1.39891270800996
2023-09-13,0.9630542490327432,1.4601527,1.3650620461950025
2023-09-14,1.2159095451836237,1.1461298,1.3438394142984422
2023-09-15,1.269725183517846,1.1763954,1.454946254540438
2023-09-18,1.316276981975428,1.2475889,1.456324355709608
2023-09-19,1.268979282628936,1.3211923,1.4589591311843568
2023-09-20,1.155064185288675,1.3247896,1.4150797131240282
2023-09-21,1.2957766450890538,1.2472212,1.3705211285817556
2023-09-22,1.312040902785393,1.3027205,1.4266063262743751
2023-09-25,1.2917401824521109,1.3421961,1.399510780864744
2023-09-26,1.3360776022948777,1.345141,1.368865581737123
2023-09-27,1.3326498633105581,1.3727103,1.4322469167684704
2023-09-28,0.8821966383268556,1.3809978,1.3956243018702343
2023-09-29,0.8914003911891452,1.0847169,1.352173933857089
2023-10-02,1.3495237958784576,0.95583487,1.309782696286034
2023-10-03,1.3814629455537377,1.2134439,1.645502985473971
2023-10-04,1.4313471622428664,1.3705544,1.7586358264111568
2023-10-05,1.4078604996400574,1.4697859,1.7038062821940267
2023-10-06,1.6404156584082414,1.4860661,1.6670719061108046
2023-10-09,1.6638741962153143,1.6356918,1.660854056163329
2023-10-10,2.1334814914234967,1.7104083,1.603421359554417
2023-10-11,2.1602399214502315,2.049873,1.8482541299543769
2023-10-12,2.289400427211374,2.2086382,1.8009771920250237
2023-10-13,2.292763362404913,2.3385077,1.8632933668728304
2023-10-16,2.0010707403995425,2.3702488,1.813426166103644
2023-10-17,1.7193861652129827,2.1553776,1.7938115783403925
2023-10-18,1.9609771299947119,1.8517677,1.7384086942931802
2023-10-19,2.01285136721504,1.8907036,1.8112165871864976
2023-10-20,2.1581998545406056,1.9678131,1.8027735916159329
2023-10-23,2.154004335393819,2.1126635,1.9197277208028776
2023-10-24,1.7985485516676436,2.1746707,1.8542347152699457
2023-10-25,1.7586513749497954,1.946215,1.8567614833537136
2023-10-26,1.7337869185184722,1.8090255,1.8763944246912752
2023-10-27,1.921553734905333,1.7420216,1.8201818603403968
2023-10-30,1.761557419409826,1.8548491,1.954410166753386
2023-10-31,1.822719188168736,1.8087217,1.8844047433027824
2023-11-01,1.7362199792641284,1.8295087,1.842966393186148
2023-11-02,2.1530073397504697,1.7828825,1.8005402883667918
2023-11-03,2.0898680994799324,2.0475237,1.965772198601884
2023-11-06,2.147161627104593,2.1258292,2.0177632831023544
2023-11-07,2.071654540448583,2.1835275,1.979718093198964
2023-11-08,2.014726785830518,2.1422694,1.9141867286348495
2023-11-09,2.0169394234665283,2.0727642,1.888499248625726
2023-11-10,1.7252498866589838,2.0401275,1.8396992881762528
2023-11-13,1.721933067892541,1.8282027,1.7781985389368966
2023-11-14,2.846909566141651,1.7365745,1.7152640787849027
2023-11-15,2.7784124773072825,2.489651,2.555242878699456
2023-11-16,2.6869812200668712,2.7993472,2.4611173645258813
2023-11-17,2.580898441985498,2.8233674,2.3872646484182867
