Ticker,Name,ESG Rating,ESG Label
CAD,CAD CASH,N/A,N/A
GWIND.E,GALATA WIND ENERJI,15.2,Low
TWD,TWD CASH,N/A,N/A
KRW,KRW CASH,N/A,N/A
CNH,CNH CASH,N/A,N/A
ILS,ILS CASH,N/A,N/A
GBP,GBP CASH,N/A,N/A
CLP,CLP CASH,N/A,N/A
NOK,NOK CASH,N/A,N/A
NZD,NZD CASH,N/A,N/A
HKD,HKD CASH,N/A,N/A
SEK,SEK CASH,N/A,N/A
CNY,CNY CASH,N/A,N/A
IDR,IDR CASH,N/A,N/A
2610,ZHEJIANG AKCOME NEW ENERGY TECHNOL,N/A,N/A
TRY,TRY/USD,N/A,N/A
VGM5,EURO STOXX 50 JUN 25,N/A,N/A
ESM5,S&P500 EMINI JUN 25,N/A,N/A
MESM5,MSCI EMER MKT INDEX (ICE) JUN 25,N/A,N/A
USD,USD CASH,N/A,N/A
 ,,,
