iShares Global Clean Energy ETF,,
300772,WINDEY ENERGY TECHNOLOGY GROUP LTD,0.05
CHF,CHF CASH,0.04
HBCFT,CASH COLLATERAL USD HBCFT,0.04
HBCFT,CASH COLLATERAL EUR HBCFT,0.02
DIEDT,EDP RENOVAVEIS RIGHTS SA,0.01
CAD,CAD CASH,0.01
GWIND.E,GALATA WIND ENERJI,0.01
TWD,TWD CASH,0.01
KRW,KRW CASH,0.01
CNH,CNH CASH,0
ILS,ILS CASH,0
GBP,GBP CASH,0
CLP,CLP CASH,0
NOK,NOK CASH,0
NZD,NZD CASH,0
HKD,HKD CASH,0
SEK,SEK CASH,0
CNY,CNY CASH,0
IDR,IDR CASH,0
2610,ZHEJIANG AKCOME NEW ENERGY TECHNOL,0
TRY,TRY/USD,0
VGM5,EURO STOXX 50 JUN 25,0
ESM5,S&P500 EMINI JUN 25,0
MESM5,MSCI EMER MKT INDEX (ICE) JUN 25,0
USD,USD CASH,-0.15
 ,,
