date,icln_cate
2010-01-19,0.08506375141377816
2010-01-20,0.11897610691853946
2010-01-21,0.0863664324139747
2010-01-22,0.0985262257314987
2010-01-25,0.11837197825186307
2010-01-26,0.1019968927744088
2010-01-27,0.06974469116121328
2010-01-28,0.061972533520340864
2010-01-29,0.061908877100456366
2010-02-01,0.07192863702799379
2010-02-02,0.0672569613423171
2010-02-03,0.11478885529964697
2010-02-04,0.09385058908298882
2010-02-05,0.09408403443387023
2010-02-08,0.08209215977070351
2010-02-09,0.11437276066656743
2010-02-10,0.16765170228320153
2010-02-11,0.1968968170864448
2010-02-12,0.1490634996317537
2010-02-16,0.19487224373071393
2010-02-17,0.1822509950958138
2010-02-18,0.1782466199789356
2010-02-19,0.10828032569146934
2010-02-22,0.10796785303932746
2010-02-23,0.11185825769242144
2010-02-24,0.08830459005792521
2010-02-25,0.06736093970306774
2010-02-26,0.047578435007962466
2010-03-01,0.052105127613021544
2010-03-02,-0.017600317007950367
2010-03-03,0.01876722602079554
2010-03-04,0.016883952716914466
2010-03-05,-0.004447668531308794
2010-03-08,-0.009781324647388888
2010-03-09,-0.01781747737436541
2010-03-10,-0.012304493940665009
2010-03-11,-0.026850466198792892
2010-03-12,-0.018374187185778466
2010-03-15,-0.04207637436143257
2010-03-16,-0.033526635397928925
2010-03-17,-0.012408270917845922
2010-03-18,-0.017581818771234197
2010-03-19,-0.015223941361367056
2010-03-22,-0.01642077083261045
2010-03-23,-0.010041366342508235
2010-03-24,-0.04547541289903531
2010-03-25,-0.03460963913251651
2010-03-26,-0.029244699228525933
2010-03-29,-0.026862156022095518
2010-03-30,-0.02822535185220398
2010-03-31,-0.02820399754765528
2010-04-01,-0.0007421600035900231
2010-04-02,-0.0185434201955606
2010-04-05,-0.014970898864113352
2010-04-06,-0.020615621579948396
2010-04-07,-0.01215880203899483
2010-04-08,-0.012806182456008876
2010-04-09,-0.014496863401712872
2010-04-12,-0.020989140851618793
2010-04-13,-0.016038708753067846
2010-04-14,-0.023427613527753306
2010-04-15,-0.022504223553275436
2010-04-16,-0.041757700818699735
2010-04-19,-0.028790012797276613
2010-04-20,-0.034811469588855136
2010-04-21,-0.02563399427259531
2010-04-22,-0.021488387095195134
2010-04-23,-0.031832921173514
2010-04-26,-0.041196130567696575
2010-04-27,0.038661519277820626
2010-04-28,0.02607150760166475
2010-04-29,0.11943650631757924
2010-04-30,0.11721476197318971
2010-05-03,0.09111173759247829
2010-05-04,0.14624174725543312
2010-05-05,0.1833034263790557
2010-05-06,0.2410165891493692
2010-05-07,0.4391493150569112
2010-05-10,0.3248546240897051
2010-05-11,0.32006250244700074
2010-05-12,0.35083283837828166
2010-05-13,0.25647508686203535
2010-05-14,0.29700885786061243
2010-05-17,0.20995661031671695
2010-05-18,0.33826937687984504
2010-05-19,0.3902425251389903
2010-05-20,0.4620137341868439
2010-05-21,0.45383282222930055
2010-05-24,0.15897600083823663
2010-05-25,0.10863066581455995
2010-05-26,0.12382789817769593
2010-05-27,0.06568760617358652
2010-05-28,0.13013040180209035
2010-06-01,0.23421949734415537
2010-06-02,0.06700028259233302
2010-06-03,0.07311772780368267
2010-06-04,0.39151547156020006
2010-06-07,0.40874938533266564
2010-06-08,0.2756405521924196
2010-06-09,0.24313053286205025
2010-06-10,0.16492526628561988
2010-06-11,0.1304034011534441
2010-06-14,0.13621069381700585
2010-06-15,0.18044117708392063
2010-06-16,0.17658879991926238
2010-06-17,0.20014585451438419
2010-06-18,0.11411921557988039
2010-06-21,0.10929220328124907
2010-06-22,0.09239292475297312
2010-06-23,0.08908344628940858
2010-06-24,0.08988819586990977
2010-06-25,0.11134516030247202
2010-06-28,0.08356689530037412
2010-06-29,0.17811693212720411
2010-06-30,0.18249399083099827
2010-07-01,0.10906742825437264
2010-07-02,0.05553027806696754
2010-07-06,0.06921370856684946
2010-07-07,0.11401764033635904
2010-07-08,0.1319584207241414
2010-07-09,0.11607653910580698
2010-07-12,0.1350703094738364
2010-07-13,0.1275226310696141
2010-07-14,0.0529541782869334
2010-07-15,0.050700238009105086
2010-07-16,0.09896021264872643
2010-07-19,0.10483874151644709
2010-07-20,0.1049541219362339
2010-07-21,0.06408585228749876
2010-07-22,0.07097227652928176
2010-07-23,0.05825750059159476
2010-07-26,0.04367264930242982
2010-07-27,0.044413285853505034
2010-07-28,0.061244815543871574
2010-07-29,0.060015114073722
2010-07-30,0.06196000041678323
2010-08-02,0.10866613424683212
2010-08-03,0.08869174539934117
2010-08-04,0.06541288667376315
2010-08-05,0.05388791463769833
2010-08-06,0.0646517123034438
2010-08-09,0.06315525668453696
2010-08-10,0.05255215303364946
2010-08-11,0.12072881422854065
2010-08-12,0.12232002706341598
2010-08-13,0.0714946139383839
2010-08-16,0.05325119229311756
2010-08-17,0.06314023071310479
2010-08-18,0.0665747667851461
2010-08-19,0.04362058019841082
2010-08-20,0.062316660155447165
2010-08-23,0.06583632700055317
2010-08-24,0.0590058997689339
2010-08-25,0.06405059639436314
2010-08-26,0.06143457701159844
2010-08-27,0.07810069294423173
2010-08-30,0.05048636773380227
2010-08-31,0.07757228254877649
2010-09-01,0.06612547370850187
2010-09-02,0.050456212464998866
2010-09-03,0.05492527622281332
2010-09-07,0.052309382326136966
2010-09-08,0.05818382633154053
2010-09-09,0.045846394946682564
2010-09-10,0.04785997967918671
2010-09-13,0.07151664660429412
2010-09-14,0.02858928751881734
2010-09-15,0.062458290194684025
2010-09-16,0.02934504709160522
2010-09-17,0.039923832642107
2010-09-20,0.034129549409074526
2010-09-21,0.04692964010151124
