date,xle_cate
2010-01-19,0.024439268232352523
2010-01-20,0.04048747283948054
2010-01-21,0.09338794740108071
2010-01-22,0.0848132025654175
2010-01-25,0.0843815257375394
2010-01-26,0.08919938063834466
2010-01-27,0.08041398220342012
2010-01-28,0.08687788541175631
2010-01-29,0.08860518304229147
2010-02-01,0.06855194161781972
2010-02-02,0.0691474887105455
2010-02-03,0.05862064643626469
2010-02-04,0.12782580680954303
2010-02-05,0.13743130512339333
2010-02-08,0.1133316805376645
2010-02-09,0.1292950871788731
2010-02-10,0.12878138545654347
2010-02-11,0.1328875124049195
2010-02-12,0.1194334082283964
2010-02-16,0.09504841455407174
2010-02-17,0.08569820543547994
2010-02-18,0.07866503426627822
2010-02-19,0.04157714585085371
2010-02-22,0.03878469134004622
2010-02-23,0.07886039759993058
2010-02-24,0.05759333134763741
2010-02-25,0.06184021532073334
2010-02-26,0.05599176075856193
2010-03-01,0.05009759109633933
2010-03-02,0.05129643640800178
2010-03-03,0.049542847802669
2010-03-04,0.05345497617974391
2010-03-05,0.04504890508889529
2010-03-08,0.03363293255372614
2010-03-09,0.011536745426640634
2010-03-10,0.01286726471121121
2010-03-11,0.01108202777479588
2010-03-12,0.017372770440899285
2010-03-15,0.022363066708727532
2010-03-16,0.034440660721495014
2010-03-17,0.03542026742327129
2010-03-18,0.04092030612770052
2010-03-19,0.03978737186113867
2010-03-22,0.044059247655991916
2010-03-23,0.040054548583445336
2010-03-24,0.02766237181763868
2010-03-25,0.029473121273966736
2010-03-26,0.03527367023741734
2010-03-29,0.012420040721505774
2010-03-30,0.02123832109424829
2010-03-31,0.029661722660742892
2010-04-01,0.0179115654170786
2010-04-02,0.028489326565876702
2010-04-05,0.0137184989783534
2010-04-06,0.011375163829118242
2010-04-07,0.01581567247963668
2010-04-08,0.03821136528851901
2010-04-09,0.03408192413451006
2010-04-12,0.007116887751952633
2010-04-13,0.027159625023904906
2010-04-14,0.012552472334558829
2010-04-15,-0.005673537733425054
2010-04-16,0.009844623114599962
2010-04-19,0.012817413708966247
2010-04-20,0.024762705479827184
2010-04-21,0.03431748707735449
2010-04-22,0.03418644468378863
2010-04-23,0.014068200315640727
2010-04-26,0.007643192504749916
2010-04-27,0.08124050981789119
2010-04-28,0.06810756354474912
2010-04-29,0.01871312805495864
2010-04-30,0.08389579896679587
2010-05-03,0.0488595218961303
2010-05-04,0.08091188110315038
2010-05-05,0.09813719246658048
2010-05-06,0.13574852370180668
2010-05-07,0.11768273745324037
2010-05-10,0.18784156470292424
2010-05-11,0.16264088979912883
2010-05-12,0.15599967950306465
2010-05-13,0.15823613104070755
2010-05-14,0.16743014526046984
2010-05-17,0.15773838037824509
2010-05-18,0.1490309589509376
2010-05-19,0.1517707436115873
2010-05-20,0.3067539693967891
2010-05-21,0.3336724678511552
2010-05-24,0.09468566036855197
2010-05-25,0.08293888106625616
2010-05-26,0.0738342811145796
2010-05-27,0.1824931122483559
2010-05-28,0.18060103449927326
2010-06-01,0.3580470181480963
2010-06-02,0.3919629394685725
2010-06-03,0.3969818551829111
2010-06-04,0.5420828700648274
2010-06-07,0.5629975936498365
2010-06-08,0.4793331618090282
2010-06-09,0.4854762443574663
2010-06-10,0.45422231703873434
2010-06-11,0.39482136911731625
2010-06-14,0.37671848567621585
2010-06-15,0.19448444394167572
2010-06-16,0.17890904401449
2010-06-17,0.17544421958097553
2010-06-18,0.08693387887910181
2010-06-21,0.07714226726900934
2010-06-22,0.1480918791189633
2010-06-23,0.14841362003732067
2010-06-24,0.05817695096024362
2010-06-25,0.06714738397966405
2010-06-28,0.07005631797351573
2010-06-29,0.07111797830287249
2010-06-30,0.07201333258039701
2010-07-01,0.07738311393522704
2010-07-02,0.08060833891967202
2010-07-06,0.08132091531870742
2010-07-07,0.06727645308353498
2010-07-08,0.08362559456480986
2010-07-09,0.06752697133739888
2010-07-12,0.06768355576379578
2010-07-13,0.07044557865170308
2010-07-14,0.08852591616959546
2010-07-15,0.08337802286020667
2010-07-16,0.06678883286485929
2010-07-19,0.06361173538281992
2010-07-20,0.06507884520239551
2010-07-21,0.09295356649380665
2010-07-22,0.09549723626823994
2010-07-23,0.09283016942256202
2010-07-26,0.09632972776284142
2010-07-27,0.07472100672212793
2010-07-28,0.07228293407466055
2010-07-29,0.08611771759118315
2010-07-30,0.09745117321843096
2010-08-02,0.10596699174954481
2010-08-03,0.11535571926947942
2010-08-04,0.11892923366091247
2010-08-05,0.10014302845818016
2010-08-06,0.12199135139248497
2010-08-09,0.12183568848686017
2010-08-10,0.12367674049786456
2010-08-11,0.09712660068578952
2010-08-12,0.08650058868537934
2010-08-13,0.08310293812785827
2010-08-16,0.08222202758762201
2010-08-17,0.11158647531490251
2010-08-18,0.1102289446751112
2010-08-19,0.08971004012731737
2010-08-20,0.10033226888479764
2010-08-23,0.10363152769370403
2010-08-24,0.09680085638934716
2010-08-25,0.0801380009657933
2010-08-26,0.08022474467214241
2010-08-27,0.10382506505241057
2010-08-30,0.08086638440994054
2010-08-31,0.09297724713331487
2010-09-01,0.0898831394243141
2010-09-02,0.09075675739621636
2010-09-03,0.07077342057268333
2010-09-07,0.09192008157909777
2010-09-08,0.09019512939981801
2010-09-09,0.07739948499979503
2010-09-10,0.0863312639191705
2010-09-13,0.12072760184937421
2010-09-14,0.12204139033703851
2010-09-15,0.11809128948983898
2010-09-16,0.08509155765604602
2010-09-17,0.0849730872981227
2010-09-20,0.09026491057402987
2010-09-21,0.07000780926635795
2010-09-22,0.07333948840003117
2010-09-23,0.08218286021775535
