date,xle_cate
2018-01-17,0.04356476776462072
2018-01-18,0.04693756410662832
2018-01-19,0.04846617039597337
2018-01-22,0.06877017488551271
2018-01-23,0.06215477036774089
2018-01-24,0.06400168537035415
2018-01-25,0.07534984839643323
2018-01-26,0.054747494209552675
2018-01-29,0.06557926187303834
2018-01-30,0.08738421571069893
2018-01-31,0.07420854077025955
2018-02-01,0.08726871608952902
2018-02-02,0.15464070364756521
2018-02-05,0.11768094978553269
2018-02-06,0.12480679491740869
2018-02-07,0.130946831597446
2018-02-08,0.15182489485048825
2018-02-09,0.13423524033761508
2018-02-12,0.19333619464901294
2018-02-13,0.19191395485904417
2018-02-14,0.16774152767489572
2018-02-15,0.16255673654304378
2018-02-16,0.14020856881208282
2018-02-20,0.07937464625062675
2018-02-21,0.06900498133612491
2018-02-22,0.06990748482865917
2018-02-23,0.0926343116135277
2018-02-26,0.08048995230218531
2018-02-27,0.08551549941529812
2018-02-28,0.07214323842233065
2018-03-01,0.09487018803456723
2018-03-02,0.08015444986975004
2018-03-05,0.07010116294608523
2018-03-06,0.07493624401334344
2018-03-07,0.10530114881274977
2018-03-08,0.10325175597138679
2018-03-09,0.07648952555837675
2018-03-12,0.07361364039898949
2018-03-13,0.07505158914068576
2018-03-14,0.08287157589061703
2018-03-15,0.07831362460957654
2018-03-16,0.060446422543523094
2018-03-19,0.06940698019267298
2018-03-20,0.07314508525328088
2018-03-21,0.10474834669619695
2018-03-22,0.08027361078478117
2018-03-23,0.08489489195991304
2018-03-26,0.07804897191237012
2018-03-27,0.080106387918837
2018-03-28,0.08587733688839612
2018-03-29,0.09727027622316466
2018-04-02,0.13374265875916302
2018-04-03,0.14379838872170905
2018-04-04,0.1383290413701696
2018-04-05,0.12734288996846024
2018-04-06,0.12463424562234356
2018-04-09,0.11692834073042112
2018-04-10,0.13078657282990294
2018-04-11,0.12418896332071118
2018-04-12,0.08377985945168905
2018-04-13,0.0918685486468849
2018-04-16,0.08202924440616213
2018-04-17,0.0804851588974286
2018-04-18,0.07593616115069476
2018-04-19,0.07808734221576126
2018-04-20,0.04608395145313893
2018-04-23,0.041427210362151634
2018-04-24,0.03131495990647018
2018-04-25,0.03047210592514353
2018-04-26,0.021664474255816538
2018-04-27,0.027082981500682158
2018-04-30,0.0279722635990736
2018-05-01,0.02830498031111303
2018-05-02,0.024303720873020275
2018-05-03,0.023148206770550222
2018-05-04,0.017358656093997307
2018-05-07,0.018481761835999252
2018-05-08,0.011216577670593723
2018-05-09,0.030737242011492638
2018-05-10,0.027354157485958853
2018-05-11,0.01928523278356566
2018-05-14,0.019995809522039196
2018-05-15,0.01457402406085666
2018-05-16,0.016891342855819117
2018-05-17,0.016766878172892033
2018-05-18,0.01888315679526002
2018-05-21,0.019569381472778986
2018-05-22,0.03378251051583471
2018-05-23,0.019115055620053487
2018-05-24,0.032001364883849706
2018-05-25,0.060426269273569935
2018-05-29,0.08108983209264152
2018-05-30,0.050906415525440556
2018-05-31,0.0582586854514812
2018-06-01,0.03322113098522057
2018-06-04,0.024438116519465727
2018-06-05,0.03136611696616749
2018-06-06,0.023135173543635684
2018-06-07,0.024608418202882263
2018-06-08,0.023411732014349162
2018-06-11,0.049513136345983415
2018-06-12,0.05609840843560381
2018-06-13,0.0228575405631722
2018-06-14,0.01808839005778687
2018-06-15,0.042654949144120394
2018-06-18,0.040914150400011465
2018-06-19,0.04379701629945525
2018-06-20,0.0452432491742477
2018-06-21,0.04493341582220478
2018-06-22,0.0655421405565257
2018-06-25,0.08311268864286649
2018-06-26,0.03756074125338698
2018-06-27,0.05984275829003773
2018-06-28,0.0607275595925815
2018-06-29,0.054339291917332416
2018-07-02,0.03981773601538748
2018-07-03,0.04767364291402439
2018-07-05,0.039719716026458504
2018-07-06,0.06843488704276503
2018-07-09,0.06022781138369052
2018-07-10,0.027802378660484028
2018-07-11,0.07195259592004792
2018-07-12,0.05612187876724353
2018-07-13,0.051331625414630266
2018-07-16,0.0757523052641934
2018-07-17,0.06073839500907104
2018-07-18,0.054490946261574774
2018-07-19,0.06417533401622975
2018-07-20,0.05680414537481122
2018-07-23,0.02780996046469947
2018-07-24,0.031453984465707754
2018-07-25,0.018840940146526926
2018-07-26,0.016740477923001058
2018-07-27,0.02279002270058265
2018-07-30,0.012473488463900926
2018-07-31,0.020139148988945147
2018-08-01,0.023887525830461227
2018-08-02,0.02359416214033204
2018-08-03,0.029958374615187223
2018-08-06,0.025249888134950913
2018-08-07,0.017948146324033083
2018-08-08,0.027392472119936073
2018-08-09,0.025944618504276592
2018-08-10,0.03526490001701639
2018-08-13,0.026529767346587584
2018-08-14,0.03175330702467122
2018-08-15,0.09436135082909623
2018-08-16,0.08211853091043111
2018-08-17,0.08002105035750795
2018-08-20,0.07617292676446212
2018-08-21,0.08261759090971478
2018-08-22,0.05309322463292218
2018-08-23,0.05568641287041449
2018-08-24,0.048846168736038004
2018-08-27,0.057179826686819105
2018-08-28,0.049798935342745834
2018-08-29,0.022479984721582177
2018-08-30,0.02399439136888088
2018-08-31,0.027377157545583026
2018-09-04,0.022392099191133892
2018-09-05,0.018148560836250587
2018-09-06,0.019176034696065988
2018-09-07,0.016704720298552037
2018-09-10,0.01715993151392072
2018-09-11,0.019428947213180028
2018-09-12,0.02112616752690787
2018-09-13,0.018169697251336783
2018-09-14,0.01963699669934337
2018-09-17,0.018010715846303465
2018-09-18,0.018834139421937002
2018-09-19,0.017025220313792423
2018-09-20,0.01561778306517924
2018-09-21,0.01543258107179771
2018-09-24,0.015182597160495487
