date,icln_cate
2018-01-17,0.013537541150720632
2018-01-18,0.0055036481597375885
2018-01-19,0.0062808495997714745
2018-01-22,0.0074367398377911224
2018-01-23,0.008662566470710389
2018-01-24,0.010301028833200263
2018-01-25,0.010713055224414158
2018-01-26,0.011708836337394767
2018-01-29,-0.0038024612819928466
2018-01-30,-0.01182138297005197
2018-01-31,0.0015069381330205449
2018-02-01,0.0032060974622028027
2018-02-02,0.011137075949711358
2018-02-05,0.1093198396373731
2018-02-06,0.05199250232785079
2018-02-07,0.04026176267887248
2018-02-08,0.10217083258246164
2018-02-09,0.0647510348783526
2018-02-12,0.04330554809129796
2018-02-13,0.05119841431044539
2018-02-14,0.03518908478641964
2018-02-15,0.060350127284726635
2018-02-16,0.034653714737506634
2018-02-20,0.03914963703742004
2018-02-21,0.015513891080486788
2018-02-22,-0.0022434165598554396
2018-02-23,-0.015331640461475945
2018-02-26,-0.019703022443830858
2018-02-27,-0.013944211961393919
2018-02-28,-0.0022811448236705035
2018-03-01,0.024920491321548954
2018-03-02,-0.002615609214707703
2018-03-05,-0.002336353908834951
2018-03-06,-0.004687682409931
2018-03-07,-0.004791289690506828
2018-03-08,-0.019079450108442298
2018-03-09,-0.01280259956198588
2018-03-12,-0.020325171825399106
2018-03-13,-0.019439012314810693
2018-03-14,-0.009770514624282852
2018-03-15,-0.018221477249501083
2018-03-16,-0.022068679257214275
2018-03-19,-0.0010045145932079038
2018-03-20,0.009912335550974788
2018-03-21,0.02030202371825026
2018-03-22,0.02877646535451305
2018-03-23,0.025217041476945288
2018-03-26,0.05367081143537
2018-03-27,0.04506729157427125
2018-03-28,0.045888395074678894
2018-03-29,0.011608549473663899
2018-04-02,0.037333121285196766
2018-04-03,0.05444933128760714
2018-04-04,0.033604876212983956
2018-04-05,0.029697268057862356
2018-04-06,0.054236609964719615
2018-04-09,0.051513687126687045
2018-04-10,0.0217591891089732
2018-04-11,0.013076889749676265
2018-04-12,0.0047650818931074135
2018-04-13,-0.0033345454584393255
2018-04-16,-0.003150792626119567
2018-04-17,-0.0013637824392222428
2018-04-18,0.00918222389302401
2018-04-19,0.015333150493407827
2018-04-20,0.021222099514159223
2018-04-23,0.013280918023946655
2018-04-24,0.019457852244204682
2018-04-25,0.01635325206866297
2018-04-26,0.010645211057166124
2018-04-27,0.013594385922831319
2018-04-30,0.008247595405161576
2018-05-01,0.011067339683043907
2018-05-02,0.014662962076194969
2018-05-03,0.019667525360075617
2018-05-04,0.019870394902414594
2018-05-07,0.01962065355369899
2018-05-08,0.01583843064026052
2018-05-09,0.029791994397168238
2018-05-10,0.0301433441329167
2018-05-11,0.03404768153537642
2018-05-14,0.02741273701846797
2018-05-15,0.01102663433279201
2018-05-16,0.021079839551923163
2018-05-17,0.02047734905543023
2018-05-18,0.024228064502341
2018-05-21,0.016645013791790716
2018-05-22,0.02066279241815331
2018-05-23,0.02053278987824311
2018-05-24,0.028723322757538538
2018-05-25,0.03245295437624536
2018-05-29,0.0038319186028238353
2018-05-30,0.0038930564662494884
2018-05-31,0.0033513736507541415
2018-06-01,0.021820132541806064
2018-06-04,-0.019619615276124762
2018-06-05,0.006868375326925852
2018-06-06,0.013074971492139438
2018-06-07,0.022398634257908327
2018-06-08,0.00553732654709534
2018-06-11,0.008750453943374627
2018-06-12,0.012557982554494869
2018-06-13,0.03227010731695359
2018-06-14,0.03461302988701038
2018-06-15,0.038865046016576504
2018-06-18,0.03294235712661483
2018-06-19,0.03008035496632535
2018-06-20,0.03343355829843993
2018-06-21,0.018962515252555396
2018-06-22,0.026987453402884068
2018-06-25,0.01604569277020511
2018-06-26,0.012934427481195495
2018-06-27,0.010702650867473884
2018-06-28,0.012097779234792114
2018-06-29,-0.0003515886295209813
2018-07-02,0.014132772744496609
2018-07-03,0.005784791198177132
2018-07-05,0.012842486135949372
2018-07-06,0.025016520434201512
2018-07-09,0.02679003300617393
2018-07-10,0.02444423960661915
2018-07-11,0.020554318434614475
2018-07-12,0.02442493103142322
2018-07-13,0.024051160730766134
2018-07-16,0.01903754198768602
2018-07-17,0.02529199660683374
2018-07-18,0.03056967772982993
2018-07-19,0.01977736126521389
2018-07-20,0.030111659584411084
2018-07-23,0.03213966427595065
2018-07-24,0.03631620900846049
2018-07-25,0.0367444731430354
2018-07-26,0.03565819269443371
2018-07-27,0.03355548736383571
2018-07-30,0.01592181830857902
2018-07-31,0.032087543512185505
2018-08-01,0.027896566748246227
2018-08-02,0.03732478639304923
2018-08-03,0.038217022789746494
2018-08-06,0.03897032980054293
2018-08-07,0.03317621829013598
2018-08-08,0.0321586801694094
2018-08-09,0.03114845583961093
2018-08-10,0.02769734783353448
2018-08-13,0.014980714097221516
2018-08-14,0.03053833535324387
2018-08-15,0.0062732021909422215
2018-08-16,0.018873271440170952
2018-08-17,0.01738043393602086
2018-08-20,-0.0009331204156665686
2018-08-21,-0.01207559040812482
2018-08-22,-0.02286267141829308
2018-08-23,-0.027845796307987378
2018-08-24,-0.014231032501440892
2018-08-27,-0.007668901710769343
2018-08-28,0.01639893058622399
2018-08-29,0.035938565127652373
2018-08-30,0.02145005217398693
2018-08-31,0.02263126849512065
2018-09-04,0.01989767460211365
2018-09-05,0.01756144601302991
2018-09-06,0.009704389020256946
2018-09-07,0.01605908095583097
2018-09-10,0.023596212882062016
2018-09-11,0.024598444167381224
2018-09-12,0.022717628478713135
2018-09-13,0.032611134586241236
2018-09-14,0.03196436142081115
2018-09-17,0.02641662843695928
2018-09-18,0.022282295237657967
2018-09-19,0.022120869126544023
