Price,Close,High,Low,Open,Volume
Ticker,EXH1.DE,EXH1.DE,EXH1.DE,EXH1.DE,EXH1.DE
Date,,,,,
2018-01-02,23.534027099609375,23.57119921695004,23.418791267012715,23.418791267012715,433838
2018-01-03,23.8574275970459,23.8574275970459,23.645543421524785,23.645543421524785,255442
2018-01-04,24.11391830444336,24.117633530451233,23.95779089455061,24.006117193156854,160903
2018-01-05,24.232879638671875,24.27005176471383,24.102772943447896,24.102772943447896,133025
2018-01-08,24.37784767150879,24.433607266602888,24.262610418700767,24.318370013794866,93844
2018-01-09,24.43360710144043,24.504233274434785,24.381562733267142,24.400150210189803,96321
2018-01-10,24.44475746154785,24.522819756564918,24.35925904164306,24.437321336660123,73368
2018-01-11,24.5971622467041,24.5971622467041,24.374126728733394,24.45218901822062,49503
2018-01-12,24.727266311645508,24.745853786684705,24.44847120236062,24.470776739617758,193503
2018-01-15,24.652929306030273,24.686386203692418,24.574866992887056,24.686386203692418,559725
2018-01-16,24.426172256469727,24.645492584238735,24.370412658830084,24.60831762844501,70498
2018-01-17,24.307220458984375,24.381564700572127,24.18454990791866,24.34067735293458,144744
2018-01-18,24.389005661010742,24.474501272179406,24.28492256773502,24.415026434329675,251185
2018-01-19,24.165966033935547,24.288633752850615,24.128793911959736,24.236592214874257,108687
2018-01-22,24.46706199645996,24.46706199645996,24.218005679032043,24.218005679032043,95308
2018-01-23,24.485645294189453,24.571140869851817,24.4521884075017,24.556271457551752,90557
2018-01-24,24.47449493408203,24.6343375962333,24.47077970746401,24.533972592580575,59434
2018-01-25,24.39272117614746,24.60832063138545,24.348112925382036,24.48936813206228,38042
2018-01-26,24.322086334228516,24.46705956945828,24.31093498321863,24.340673809945404,91601
2018-01-29,24.143657684326172,24.348108585494916,24.128791106105524,24.262610162446865,51926
2018-01-30,23.78680419921875,24.04701330455696,23.764500075438143,23.950363519533216,150471
2018-01-31,23.678998947143555,23.83140688809995,23.649260120603138,23.786800066314623,99632
2018-02-01,23.612089157104492,23.95407858887293,23.574915622115874,23.80910534748074,136419
2018-02-02,23.247800827026367,23.77937041114288,23.221780057288544,23.768217639808388,349794
2018-02-05,22.9020938873291,23.08795733206571,22.809162164960796,22.935549364102712,652385
2018-02-06,22.281312942504883,22.664192666465183,22.214401977852624,22.29618236087778,398503
2018-02-07,22.794294357299805,22.95413704449298,22.489478399867618,22.55638935813572,142412
2018-02-08,22.45602035522461,22.74968492540401,22.340784514033512,22.71251138726552,166544
2018-02-09,22.07314109802246,22.381673651013163,21.957905262216666,22.35937094719782,302699
2018-02-12,22.314762115478516,22.530364366848058,22.22183040396241,22.22183040396241,175679
2018-02-13,22.188377380371094,22.38911023972997,22.184660735431358,22.355654763170158,110112
2018-02-14,22.195810317993164,22.314762798935025,21.946754004154098,22.199528380661903,129440
2018-02-15,22.25528907775879,22.600995207762878,22.151205999658835,22.489477421509275,45900
2018-02-16,22.482040405273438,22.515495879517427,22.318481096761406,22.474605697883057,69284
2018-02-19,22.500629425048828,22.589844507445594,22.500629425048828,22.519216904982972,37100
2018-02-20,22.641883850097656,22.69764344843612,22.51921471898872,22.56753819165487,485503
2018-02-21,22.615861892700195,22.671621488105576,22.500626057274268,22.51921353442634,62619
2018-02-22,22.664186477661133,22.686489181104598,22.40769404385809,22.40769404385809,117746
2018-02-23,22.842622756958008,22.846339402753777,22.638173205569785,22.7050841741006,38200
2018-02-26,22.950422286987305,23.03963595999902,22.89094603230424,23.006180478113187,60081
2018-02-27,22.995025634765625,23.04335052749698,22.90209391229601,23.021046403615074,36638
