,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t+0,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10
2018-01-24,,,,,,0.008833485072814163,0.009258424563644212,0.008675208719658998,0.008715194759093589,0.007668623421518006,0.007777975300244731,0.007765529930147275,0.004064925890453115,0.00406674601336506,0.00392346460584675,0.0031941876216256835,0.0028047231399550556,0.0071388456845166435,0.011284402519707845,0.01227642774317779,0.012269505030020935
2018-01-31,0.008833485072814163,0.009258424563644212,0.008675208719658998,0.008715194759093589,0.007668623421518006,0.007777975300244731,0.007765529930147275,0.004064925890453115,0.00406674601336506,0.00392346460584675,0.0031941876216256835,0.0028047231399550556,0.0071388456845166435,0.011284402519707845,0.01227642774317779,0.012269505030020935,0.01353321002392707,0.013919026845296372,0.016154300650883736,0.01720143685693173,0.018038686198728053
2018-02-13,0.00392346460584675,0.0031941876216256835,0.0028047231399550556,0.0071388456845166435,0.011284402519707845,0.01227642774317779,0.012269505030020935,0.01353321002392707,0.013919026845296372,0.016154300650883736,0.01720143685693173,0.018038686198728053,0.01963247109507001,0.018129108743418193,0.014119425424228102,0.014047266547719497,0.01365733765083202,0.009103716316308467,0.009206154061167243,0.010900201129168605,0.011166190906972049
2018-02-27,0.016154300650883736,0.01720143685693173,0.018038686198728053,0.01963247109507001,0.018129108743418193,0.014119425424228102,0.014047266547719497,0.01365733765083202,0.009103716316308467,0.009206154061167243,0.010900201129168605,0.011166190906972049,0.010811532738615588,0.008363474095604843,0.008298996526579693,0.008617098098934605,0.008462791919542483,0.008425699973117179,0.008491042960399991,0.007632517602298945,0.005709002246435533
2018-03-20,0.008617098098934605,0.008462791919542483,0.008425699973117179,0.008491042960399991,0.007632517602298945,0.005709002246435533,0.004534282652670293,0.0033813157856382794,0.004515483346436621,0.004629833116576147,0.004752447472795697,0.004763180322306604,0.007899261998711637,0.008654167506893072,0.014324640334716985,0.015284042736017002,0.015542160300716564,0.01562396665143065,0.016140801813240378,0.017887147204973496,0.017941067655200666
2018-03-21,0.008462791919542483,0.008425699973117179,0.008491042960399991,0.007632517602298945,0.005709002246435533,0.004534282652670293,0.0033813157856382794,0.004515483346436621,0.004629833116576147,0.004752447472795697,0.004763180322306604,0.007899261998711637,0.008654167506893072,0.014324640334716985,0.015284042736017002,0.015542160300716564,0.01562396665143065,0.016140801813240378,0.017887147204973496,0.017941067655200666,0.018058284737055258
2018-03-27,0.005709002246435533,0.004534282652670293,0.0033813157856382794,0.004515483346436621,0.004629833116576147,0.004752447472795697,0.004763180322306604,0.007899261998711637,0.008654167506893072,0.014324640334716985,0.015284042736017002,0.015542160300716564,0.01562396665143065,0.016140801813240378,0.017887147204973496,0.017941067655200666,0.018058284737055258,0.01771581507204476,0.017272845769756028,0.013592488021847102,0.012435050863162316
2018-05-07,0.006794138348816357,0.006677335456240636,0.006678540928075259,0.00781532236745985,0.00912282092445588,0.009023006895680492,0.008816441604179742,0.008515614779252676,0.008531266815144465,0.00845791945499493,0.008022651696157136,0.008754156845434397,0.008969197155765322,0.009832046159188894,0.00890671845860876,0.008802000543550617,0.00890844801297365,0.008667939078749335,0.008719910825541662,0.009237007448313803,0.009858213079992894
2018-05-16,0.008515614779252676,0.008531266815144465,0.00845791945499493,0.008022651696157136,0.008754156845434397,0.008969197155765322,0.009832046159188894,0.00890671845860876,0.008802000543550617,0.00890844801297365,0.008667939078749335,0.008719910825541662,0.009237007448313803,0.009858213079992894,0.008631569455938664,0.008559125512227862,0.0072765780147593506,0.007800059525096994,0.00844360068876034,0.010666936737636142,0.010529847848135527
2018-05-31,0.008667939078749335,0.008719910825541662,0.009237007448313803,0.009858213079992894,0.008631569455938664,0.008559125512227862,0.0072765780147593506,0.007800059525096994,0.00844360068876034,0.010666936737636142,0.010529847848135527,0.010557886691350146,0.012283042886846974,0.011161691045982868,0.010818905890955594,0.010760813665231064,0.011713336700633964,0.01152153903126401,0.011072580719522631,0.008618100006888322,0.008679285557474272
