Price,ICLN,XLE,VIX,Brent,EUA
Ticker,ICLN,XLE,^VIX,BZ=F,ECF=F
Date,,,,,
2018-01-02,8.579463005065918,53.14773941040039,9.770000457763672,66.56999969482422,
2018-01-03,8.561323165893555,53.94368362426758,9.149999618530273,67.83999633789062,
2018-01-04,8.497841835021973,54.26929473876953,9.220000267028809,68.06999969482422,
2018-01-05,8.525046348571777,54.24758529663086,9.220000267028809,67.62000274658203,
2018-01-08,8.652016639709473,54.57320785522461,9.520000457763672,67.77999877929688,
2018-01-09,8.633879661560059,54.43572235107422,10.079999923706055,68.81999969482422,
2018-01-10,8.615739822387695,54.370601654052734,9.819999694824219,69.19999694824219,
2018-01-11,8.788053512573242,55.48494338989258,9.880000114440918,69.26000213623047,
2018-01-12,8.760848045349121,56.020389556884766,10.15999984741211,69.87000274658203,
2018-01-16,8.724570274353027,55.31126403808594,11.65999984741211,69.1500015258789,
2018-01-17,8.778985977172852,55.79609298706055,11.90999984741211,69.37999725341797,
2018-01-18,8.71550178527832,55.340213775634766,12.220000267028809,69.30999755859375,
2018-01-19,8.73363971710205,55.26784896850586,11.270000457763672,68.61000061035156,
2018-01-22,8.73363971710205,56.461788177490234,11.029999732971191,69.02999877929688,
2018-01-23,8.70643424987793,56.37495040893555,11.100000381469727,69.95999908447266,
2018-01-24,8.67015552520752,56.22298812866211,11.470000267028809,70.52999877929688,
2018-01-25,8.697362899780273,55.78159713745117,11.579999923706055,70.41999816894531,
2018-01-26,8.697362899780273,56.08552169799805,11.079999923706055,70.5199966430664,
2018-01-29,8.67015552520752,55.23890686035156,13.84000015258789,69.45999908447266,
2018-01-30,8.67015552520752,54.12458419799805,14.789999961853027,69.0199966430664,
2018-01-31,8.67922592163086,54.1607551574707,13.539999961853027,69.05000305175781,
2018-02-01,8.633879661560059,54.717933654785156,13.470000267028809,69.08000183105469,
2018-02-02,8.443426132202148,52.4313850402832,17.309999465942383,68.58000183105469,
2018-02-05,8.180418968200684,50.23167037963867,37.31999969482422,67.62000274658203,
2018-02-06,8.252972602844238,50.62961959838867,29.979999542236328,66.86000061035156,
2018-02-07,8.20762825012207,49.78303909301758,27.729999542236328,65.51000213623047,
2018-02-08,7.989967346191406,48.277976989746094,33.459999084472656,64.80999755859375,
2018-02-09,8.026241302490234,48.241790771484375,29.059999465942383,62.790000915527344,
2018-02-12,8.17134952545166,49.03050994873047,25.610000610351562,62.59000015258789,
2018-02-13,8.280179977416992,48.82789993286133,24.969999313354492,62.720001220703125,
2018-02-14,8.38901138305664,49.537010192871094,19.260000228881836,64.36000061035156,
2018-02-15,8.570395469665527,49.41401290893555,19.1299991607666,64.33000183105469,
2018-02-16,8.606671333312988,49.2910041809082,19.459999084472656,64.83999633789062,
2018-02-20,8.570395469665527,49.02326965332031,20.600000381469727,65.25,
2018-02-21,8.615739822387695,48.19838333129883,20.020000457763672,65.41999816894531,
2018-02-22,8.633879661560059,48.72659683227539,18.719999313354492,66.38999938964844,
2018-02-23,8.579463005065918,49.78303909301758,16.489999771118164,67.30999755859375,
2018-02-26,8.688294410705566,50.0797233581543,15.800000190734863,67.5,
2018-02-27,8.561323165893555,49.4284782409668,18.59000015258789,66.62999725341797,
2018-02-28,8.48877239227295,48.292442321777344,19.850000381469727,65.77999877929688,
2018-03-01,8.434357643127441,48.22008514404297,22.469999313354492,65.70999908447266,
2018-03-02,8.48877239227295,48.44438552856445,19.59000015258789,64.37000274658203,
2018-03-05,8.515978813171387,48.95815658569336,18.729999542236328,65.54000091552734,
2018-03-06,8.579463005065918,48.98707580566406,18.360000610351562,65.79000091552734,
2018-03-07,8.597601890563965,48.618072509765625,17.760000228881836,64.33999633789062,
2018-03-08,8.588532447814941,48.60358428955078,16.540000915527344,63.61000061035156,
2018-03-09,8.652016639709473,49.529781341552734,14.640000343322754,65.48999786376953,
2018-03-12,8.697362899780273,49.51530075073242,15.779999732971191,64.94999694824219,
2018-03-13,8.67922592163086,49.1607551574707,16.350000381469727,64.63999938964844,
2018-03-14,8.697362899780273,48.871315002441406,17.229999542236328,64.88999938964844,
2018-03-15,8.70643424987793,48.618072509765625,16.59000015258789,65.12000274658203,
2018-03-16,8.642949104309082,49.051658630371094,15.800000190734863,66.20999908447266,
2018-03-19,8.688294410705566,48.29377365112305,19.020000457763672,66.05000305175781,
2018-03-20,8.760848045349121,48.70186996459961,18.200000762939453,67.41999816894531,
2018-03-21,8.788053512573242,49.97716522216797,17.860000610351562,69.47000122070312,
2018-03-22,8.633879661560059,48.95693588256836,23.34000015258789,68.91000366210938,
2018-03-23,8.515978813171387,48.658138275146484,24.8700008392334,70.44999694824219,
2018-03-26,8.815262794494629,49.53262710571289,21.030000686645508,70.12000274658203,
2018-03-27,8.67922592163086,49.06623840332031,22.5,70.11000061035156,
2018-03-28,8.597601890563965,48.111572265625,22.8700008392334,69.52999877929688,
2018-03-29,8.633879661560059,49.12452697753906,19.969999313354492,70.2699966430664,
2018-04-02,8.50691032409668,48.14073181152344,23.6200008392334,67.63999938964844,
2018-04-03,8.70643424987793,49.16825866699219,21.100000381469727,68.12000274658203,
2018-04-04,8.788053512573242,49.102664947509766,20.059999465942383,68.0199966430664,
2018-04-05,8.85153865814209,49.98443603515625,18.940000534057617,68.33000183105469,
2018-04-06,8.724570274353027,49.08081817626953,21.489999771118164,67.11000061035156,
2018-04-09,8.84246826171875,49.31400680541992,21.770000457763672,68.6500015258789,
2018-04-10,8.896885871887207,50.94639587402344,20.469999313354492,71.04000091552734,
