ETF,Model,RMSE,MAE
ICLN,GARCH,0.3257941511705268,0.2538787595812145
ICLN,Rolling Baseline,0.2137186535904202,0.11899988202219264
XLE,GARCH,0.24797440084701194,0.2007743306071954
XLE,Rolling Baseline,0.14628027402940977,0.09449256920908197
