ETF,Model,RMSE,MAE
ICLN,LSTM,0.22238666505850113,0.13520364876740334
ICLN,GARCH,0.3324207334221928,0.2582150795219403
XLE,LSTM,0.20000014225388987,0.1277278237416474
XLE,GARCH,0.28967108348595816,0.21845606168286236
