ETF,Model,RMSE,MAE
ICLN,LSTM,0.2264186261651062,0.14141887509009315
ICLN,GARCH,0.32624437047174876,0.2544321674907323
XLE,LSTM,0.14694887461453912,0.09869952327745089
XLE,GARCH,0.24771510846104086,0.20041520251226433
