ETF,Model,RMSE,MAE
ICLN,GARCH,0.3323933980461789,0.2582852568995636
ICLN,Rolling Baseline,0.2221842628255519,0.12778211776980175
XLE,GARCH,0.2894929247846579,0.2182699950782358
XLE,Rolling Baseline,0.20158880777188287,0.12154379495238471
